id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_7h30m,-1.352812161489091,-0.9169995309756743,-0.6604390464960194,-0.044628901915752084,0.5576927588979993,3.722891990633183,4.574535510161239,4.600458191851436,7.377203697824414
0.csv_Day7_8h00m,1.6701165263741933,6.850562470126883,5.619208952036296,8.193061832948736,7.391397882395824,11.204715336905082,17.65570289128081,15.312573108964772,19.55349672909403
0.csv_Day7_8h30m,6.620414788614722,13.44132875785846,15.540058433341219,18.14148517040892,18.298190496262706,18.2003579621871,26.71707013793896,23.610988281640182,26.798429461603597
0.csv_Day7_9h00m,13.4094420536291,21.22375685113393,26.58973165067032,32.00612347028315,32.968970571845404,39.44774618203401,41.44248258234456,51.5328993356382,41.58394672780908
0.csv_Day7_9h30m,16.044548448130755,24.558767894390883,34.100722764961624,38.65297670296781,38.30766787528178,45.94372828261248,50.464327978352514,60.7007213012419,54.541167468138696
0.csv_Day7_10h00m,18.75639098113346,26.699635731693096,33.631371862577915,41.58703150624129,40.828212038384606,55.293260426142766,62.06275437449234,72.51327038461281,76.46633489132202
0.csv_Day7_10h30m,20.838135990194363,31.649776732462016,42.322145821600465,51.51262920616453,52.436055557233544,64.45962828613533,68.8291323322514,83.84979800461947,88.5407851260237
0.csv_Day7_11h00m,24.00254648622273,38.48760044499365,50.76042156039959,64.06486637620986,70.00159111735046,76.46545749950303,76.03896149471612,93.42290752137541,92.05552348448936
0.csv_Day7_11h30m,26.740066853923953,41.47629668158697,57.35336726009027,69.03892599490985,73.49077235237615,79.09089011208124,80.65741410677565,94.46863898921819,96.29835596056586
0.csv_Day7_12h00m,28.15319933010786,44.29238491278896,60.726331860197966,72.57233870432071,75.99256475632734,79.77415600153714,81.03502547728861,90.97833222421568,96.69904507393167
0.csv_Day7_12h30m,26.350256755181753,41.93792828997337,59.3792301920471,71.92307589690196,77.03005731761897,81.72809475847461,80.91203294136767,93.70097062764455,98.41761850954043
0.csv_Day7_13h00m,24.362240140881042,38.93190952750102,52.70466446525367,63.38487361905993,71.00332019448199,76.11486581908994,80.47108151354885,88.70228914348164,92.23290365725954
0.csv_Day7_13h30m,18.79325786990468,30.34864866216325,44.915804340883916,54.644489000987676,59.714125385724486,67.66384154142783,74.8922075893304,87.72132154867748,89.37126376065325
0.csv_Day7_14h00m,16.694321276215234,25.336558894964675,35.29661801973225,42.48137097219846,49.47837659715475,59.59487258741281,69.3342159498428,70.26755178985695,81.55234611193374
0.csv_Day7_14h30m,14.79324724520553,23.928456569173555,32.551889317031744,37.52633728176923,45.322013124252095,52.78472687983658,63.31033506433408,59.96460765789375,71.4339211011776
0.csv_Day7_15h00m,11.230010389802853,18.717382614901542,24.862610257806253,27.971276474875154,28.939516069989764,34.82319540049389,38.11806669853145,44.375723640168715,53.112141292481255
0.csv_Day7_15h30m,7.836024844652255,11.615445139006766,15.373039614265481,17.510238858472263,16.426482685188127,27.34516741332605,29.942512453900267,39.53247545093552,43.56148455494385
0.csv_Day7_16h00m,3.1208962638006224,4.659831264801282,5.591646123383165,5.513946704018586,7.2536018533500926,14.747825603440212,16.46132245513295,16.5303991108823,19.918956641374972
0.csv_Day7_16h30m,-0.6295050635719515,-0.08909335920155448,0.52370046546602,0.5419540529702125,1.7184702797176405,5.370510895999685,8.79072816094007,4.148187094093921,10.345322676571229
0.csv_Day7_17h00m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
0.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,0.0015156721159768696,0.014580070067934669,6.386622412467897e-05,3.91834648082538e-06
